FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attemps_fighter,TOTAL STR._landed_fighter,TOTAL STR._attemps_fighter,TD_landed_fighter,TD_attemps_fighter,HEAD_landed_fighter,HEAD_attemps_fighter,BODY_landed_fighter,BODY_attemps_fighter,LEG_landed_fighter,LEG_attemps_fighter,DISTANCE_landed_fighter,DISTANCE_attemps_fighter,CLINCH_landed_fighter,CLINCH_attemps_fighter,GROUND_landed_fighter,GROUND_attemps_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attemps_opponent,TOTAL STR._landed_opponent,TOTAL STR._attemps_opponent,TD_landed_opponent,TD_attemps_opponent,HEAD_landed_opponent,HEAD_attemps_opponent,BODY_landed_opponent,BODY_attemps_opponent,LEG_landed_opponent,LEG_attemps_opponent,DISTANCE_landed_opponent,DISTANCE_attemps_opponent,CLINCH_landed_opponent,CLINCH_attemps_opponent,GROUND_landed_opponent,GROUND_attemps_opponent,form_skore_fighter,Win_Decision,Win_Other,Win-striking,Win-ground,Lost_Decision,Lost_Other,Lost-striking,Lost-ground,AGE,fights_coef,lost_ground_rat,coef_zada,ground_def_skill,fights_coef_gr_att,win_ground_rat,coef_kontrola,ground_att_skill,fights_coef_str_def,lost_str_rat,coef_nohy,stand_def_skill,fights_coef_str_att,stand_att_skill,fights_coef_stamina,avg_time,win_dec_rat,stamina
AJ Dobson,73.0,185.0,76.0,Orthodox,1,0,0,1,0,900,0.0,0.0,0.0,27,52,90,68,110,0,0,41,79,6,6,5,5,44,78,5,9,3,3,0.0,0.0,0.0,557.0,80.0,128.0,183.0,255.0,6.0,16.0,70.0,118.0,9.0,9.0,1.0,1.0,29.0,57.0,4.0,7.0,47.0,64.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,-3.0,0.0,0.6188888888888889,48.43333333333333,-1.5,0.0,0.03,3.3500000000000014,1.0,0.0,0.3511111111111111,55.044444444444444,-1.5,17.799999999999997,-1.5,3.0,0.0,20.5
AJ Fletcher,70.0,170.0,67.0,Switch,2,0,0,2,0,1800,0.0,2.0,2.0,378,121,245,190,325,4,10,95,212,11,17,15,16,110,227,6,10,5,8,0.0,0.0,0.0,621.0,169.0,315.0,295.0,451.0,3.0,5.0,120.0,255.0,33.0,42.0,16.0,18.0,116.0,240.0,13.0,21.0,40.0,54.0,-0.9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,-2.0,0.0,0.345,57.650000000000006,-0.6666666666666666,0.0,0.21,21.45,2.0,0.0,0.445,59.8,-0.6666666666666666,32.025,-0.6666666666666666,3.0,0.0,24.666666666666668
Aalon Cruz,72.0,145.0,78.0,Switch,2,0,0,2,0,185,0.0,0.0,0.0,16,2,15,2,15,0,3,2,6,0,5,0,4,2,15,0,0,0,0,1.0,0.0,0.0,63.0,65.0,92.0,84.0,112.0,0.0,0.0,62.0,88.0,1.0,2.0,2.0,2.0,9.0,14.0,7.0,8.0,49.0,70.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,-0.6666666666666666,1.0,0.34054054054054056,29.117117117117115,-0.6666666666666666,0.0,0.08648648648648649,15.891891891891891,2.0,0.0,0.572972972972973,64.91891891891892,-0.6666666666666666,37.78378378378379,-0.6666666666666666,0.30833333333333335,0.0,21.975
Aaron Brink,75.0,205.0,0.0,Orthodox,1,0,0,1,0,55,0.0,0.0,0.0,4,0,5,0,5,0,1,0,5,0,0,0,0,0,3,0,2,0,0,0.0,2.0,0.0,13.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,-1.5,1.0,0.23636363636363636,31.40909090909091,-1.5,0.0,0.07272727272727272,5.272727272727273,1.0,0.0,0.6909090909090909,68.63636363636364,-1.5,33.09090909090909,-1.5,0.18333333333333332,0.0,17.683333333333334
Aaron Phillips,69.0,135.0,71.0,Southpaw,3,0,0,3,0,2249,0.0,1.0,1.0,73,62,109,346,432,0,1,29,71,29,32,4,6,28,65,21,25,13,19,0.0,2.0,1.0,1709.0,129.0,213.0,257.0,360.0,14.0,25.0,98.0,170.0,21.0,30.0,10.0,13.0,25.0,60.0,31.0,40.0,73.0,113.0,-1.2000000000000002,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,33.0,-0.5,0.3333333333333333,0.7598932859048466,36.703201422854605,-0.25,0.0,0.032458870609159626,18.460649177412183,3.0,0.0,0.20764784348599377,51.30591373943975,-0.25,26.34415295686972,-0.25,2.4988888888888887,0.0,26.24888888888889
Aaron Riley,68.0,155.0,69.0,Southpaw,9,3,0,6,0,5722,0.0,1.0,0.0,1117,314,904,581,1190,8,23,147,653,92,142,75,109,190,714,102,160,22,30,2.0,0.0,0.0,406.0,373.0,954.0,503.0,1089.0,11.0,28.0,246.0,776.0,99.0,124.0,28.0,54.0,259.0,761.0,100.0,168.0,14.0,25.0,-0.7,3.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,42.0,5.0,0.0,0.07095421181405102,72.87137364557847,0.5,0.0,0.1952114645228941,34.784515903530234,4.5,0.1111111111111111,0.7338343236630549,69.40892850207776,0.5,59.02254456483747,0.7142857142857143,2.1192592592592594,0.3333333333333333,44.024021164021164
Aaron Rosa,76.0,205.0,77.0,Orthodox,3,1,0,2,0,1714,0.0,0.0,0.0,60,132,290,407,598,0,1,81,233,42,47,9,10,80,227,52,63,0,0,0.0,0.0,0.0,798.0,129.0,260.0,270.0,429.0,2.0,14.0,92.0,216.0,16.0,19.0,21.0,25.0,84.0,206.0,30.0,38.0,15.0,16.0,-0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,39.0,-0.5,0.3333333333333333,0.46557759626604434,45.53267211201867,-0.25,0.0,0.03500583430571762,18.575262543757294,1.5,0.3333333333333333,0.49941656942823803,48.14332944379619,-0.25,39.47374562427071,-0.3333333333333333,1.9044444444444446,0.3333333333333333,38.57111111111111
Aaron Simpson,72.0,170.0,73.0,Orthodox,11,7,0,4,0,7603,6.0,4.0,0.0,3208,454,860,800,1265,32,92,253,608,97,142,104,110,164,454,184,252,106,154,1.0,2.0,1.0,975.0,320.0,730.0,493.0,914.0,5.0,30.0,192.0,576.0,52.0,66.0,76.0,88.0,150.0,473.0,145.0,229.0,25.0,28.0,-0.09999999999999995,5.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,48.0,7.0,0.0,0.12823885308430882,73.15283440747073,0.6363636363636364,0.09090909090909091,0.42193870840457715,50.7145146054787,3.6666666666666665,0.18181818181818182,0.44982243851111403,54.38683693438395,0.6363636363636364,51.96928246027286,1.4,2.3039393939393937,0.45454545454545453,52.485757575757575
Aaron Wilkinson,70.0,155.0,0.0,0,1,0,0,1,0,123,0.0,0.0,1.0,64,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,2.0,2.0,52.0,0.0,2.0,8.0,10.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,-1.5,1.0,0.42276422764227645,25.817073170731703,-1.5,0.0,0.5203252032520326,25.414634146341466,1.0,0.0,0.056910569105691054,43.27642276422764,-1.5,4.560975609756097,-1.5,0.41,0.0,17.91
Abdul Razak Alhassan,70.0,185.0,73.0,Orthodox,10,5,0,5,0,4231,7.0,0.0,1.0,456,247,513,285,558,5,11,194,435,26,35,27,43,187,419,36,56,24,38,1.0,2.0,0.0,1533.0,287.0,659.0,423.0,826.0,24.0,50.0,181.0,525.0,71.0,98.0,35.0,36.0,209.0,545.0,47.0,70.0,31.0,44.0,-0.7000000000000002,0.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,37.0,6.0,0.0,0.3623256913259277,65.13022926022217,0.5454545454545454,0.5,0.10777593949420941,31.395371822693967,5.0,0.1,0.5298983691798629,62.195934767194515,1.0,78.34542661309382,1.0,1.4103333333333334,0.0,31.410333333333334
Abdul-Kerim Edilov,74.0,205.0,0.0,Orthodox,1,1,0,0,0,452,0.0,1.0,0.0,331,77,125,150,210,2,2,59,105,16,17,2,3,9,22,6,12,62,91,0.0,0.0,0.0,0.0,1.0,13.0,7.0,21.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,-3.0,0.0,0.0,67.0,-3.0,0.0,0.7323008849557522,61.95353982300884,1.0,0.0,0.2676991150442478,51.707964601769916,-1.5,14.046460176991152,-3.0,1.5066666666666666,0.0,11.506666666666666
Abel Trujillo,68.0,155.0,70.0,Orthodox,11,6,0,4,1,6191,3.0,3.0,0.0,1134,273,662,370,767,15,33,195,568,59,75,19,19,145,483,63,97,65,82,1.0,12.0,0.0,1798.0,238.0,590.0,349.0,728.0,34.0,57.0,153.0,458.0,41.0,65.0,44.0,67.0,176.0,487.0,35.0,64.0,27.0,39.0,-0.2999999999999999,1.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,39.0,2.3333333333333335,0.18181818181818182,0.2904215797124859,58.16614048741331,0.7777777777777778,0.09090909090909091,0.1831691164593765,49.848670846732546,11.0,0.0,0.5264093038281377,72.05637215312551,0.6363636363636364,55.41569139953892,1.4,1.8760606060606062,0.09090909090909091,37.512424242424245
Abner Lloveras,71.0,155.0,0.0,0,1,0,0,1,0,900,0.0,0.0,0.0,171,94,189,99,194,2,10,55,143,33,40,6,6,76,162,18,27,0,0,0.0,0.0,0.0,30.0,103.0,182.0,135.0,217.0,0.0,0.0,42.0,111.0,22.0,30.0,39.0,41.0,81.0,149.0,22.0,31.0,0.0,2.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,-3.0,0.0,0.03333333333333333,66.0,-1.5,0.0,0.19,10.55,1.0,0.0,0.7766666666666666,72.06666666666666,-1.5,36.949999999999996,-1.5,3.0,0.0,20.5
Abu Azaitar,69.0,185.0,76.0,Orthodox,2,1,0,1,0,1796,0.0,0.0,1.0,321,156,347,277,487,1,4,78,247,59,80,19,20,112,290,31,41,13,16,1.0,1.0,1.0,657.0,160.0,320.0,253.0,430.0,3.0,5.0,136.0,289.0,12.0,17.0,12.0,14.0,95.0,226.0,18.0,25.0,47.0,69.0,-0.09999999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,-1.0,0.5,0.3658129175946548,43.02561247216036,-0.6666666666666666,0.0,0.1787305122494432,20.042873051224944,2.0,0.0,0.455456570155902,60.21826280623608,-0.6666666666666666,32.49554565701559,-1.0,2.993333333333333,0.5,42.99333333333333
Abubakar Nurmagomedov,71.0,170.0,72.0,Orthodox,2,1,0,1,0,1070,0.0,0.0,0.0,368,64,129,122,198,2,6,48,113,9,9,7,7,60,124,4,5,0,0,0.0,2.0,0.0,0.0,45.0,147.0,136.0,241.0,0.0,0.0,30.0,117.0,13.0,28.0,2.0,2.0,37.0,138.0,3.0,3.0,5.0,6.0,0.09999999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,-1.0,0.5,0.0,54.0,-0.6666666666666666,0.0,0.34392523364485983,27.476635514018692,2.0,0.0,0.6560747663551402,68.24299065420561,-0.6666666666666666,41.523364485981304,-1.0,1.7833333333333334,0.5,41.78333333333333
Abus Magomedov,74.0,185.0,0.0,0,1,1,0,0,0,19,1.0,0.0,0.0,2,7,7,7,7,0,0,6,6,1,1,0,0,3,3,2,2,2,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,-3.0,0.0,0.0,67.0,-1.5,1.0,0.10526315789473684,6.7368421052631575,1.0,0.0,0.8947368421052632,76.78947368421052,-3.0,69.26315789473685,-3.0,0.06333333333333334,0.0,10.063333333333333
Adam Cella,74.0,170.0,0.0,0,1,0,0,1,0,191,0.0,0.0,0.0,0,2,12,4,14,0,0,1,8,0,2,1,2,2,12,0,0,0,0,0.0,1.0,0.0,141.0,6.0,11.0,16.0,23.0,1.0,1.0,5.0,8.0,0.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,4.0,4.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,-1.5,1.0,0.7382198952879581,16.35340314136126,-1.5,0.0,0.0,2.0,1.0,0.0,0.2617801047120419,51.47120418848168,-1.5,13.780104712041885,-1.5,0.6366666666666667,0.0,18.136666666666667
Adam Fugitt,73.0,170.0,0.0,Southpaw,1,0,0,1,0,669,0.0,0.0,0.0,111,64,113,70,120,1,8,32,74,20,26,12,13,58,99,6,10,0,4,2.0,0.0,0.0,12.0,83.0,151.0,89.0,157.0,0.0,1.0,74.0,140.0,7.0,9.0,2.0,2.0,64.0,127.0,12.0,17.0,7.0,7.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,-3.0,0.0,0.017937219730941704,66.46188340807174,-1.5,0.0,0.16591928251121077,9.466367713004484,0.5,1.0,0.8161434977578476,33.1457399103139,-1.5,38.72645739910314,-1.5,2.23,0.0,19.73
Adam Milstead,75.0,205.0,76.0,Orthodox,4,1,0,2,1,1979,0.0,0.0,0.0,20,127,271,156,303,0,0,105,245,13,17,9,9,101,234,22,33,4,4,2.0,0.0,0.0,1028.0,158.0,279.0,335.0,490.0,10.0,28.0,104.0,218.0,25.0,31.0,29.0,30.0,107.0,220.0,14.0,18.0,37.0,41.0,-1.0000000000000002,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,35.0,0.0,0.0,0.5194542698332492,54.41637190500252,0.0,0.25,0.01010611419909045,20.45477513895907,2.0,0.25,0.47043961596766043,50.81758463870642,0.0,52.419782718544724,0.0,1.6491666666666667,0.0,26.649166666666666
Adam Wieczorek,77.0,250.0,81.0,Orthodox,3,2,0,1,0,2219,0.0,1.0,0.0,266,62,160,118,222,1,3,28,116,21,28,13,16,43,136,12,13,7,11,0.0,0.0,0.0,1238.0,69.0,134.0,156.0,247.0,7.0,17.0,33.0,93.0,23.0,26.0,13.0,15.0,32.0,83.0,11.0,13.0,26.0,38.0,0.20000000000000007,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,30.0,-1.0,0.0,0.5579089680036052,52.26273095989184,-0.3333333333333333,0.0,0.11987381703470032,36.39432176656152,3.0,0.0,0.3222172149616945,55.88868859846778,-0.25,31.49977467327625,-0.5,2.4655555555555555,0.3333333333333333,38.29888888888889
Adam Yandiev,69.0,185.0,74.0,Orthodox,1,0,0,1,0,342,0.0,0.0,0.0,0,1,12,1,12,0,0,0,9,0,2,1,1,1,10,0,2,0,0,0.0,2.0,0.0,215.0,35.0,55.0,55.0,82.0,3.0,4.0,33.0,52.0,1.0,2.0,1.0,1.0,3.0,15.0,2.0,2.0,30.0,38.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,-1.5,1.0,0.6286549707602339,19.640350877192983,-1.5,0.0,0.0,2.0,1.0,0.0,0.3713450292397661,55.85380116959064,-1.5,18.710526315789473,-1.5,1.14,0.0,18.64
Adlan Amagov,74.0,170.0,76.0,Orthodox,2,2,0,0,0,1080,1.0,0.0,0.0,274,53,125,80,152,6,11,22,71,8,15,23,39,29,87,15,23,9,15,0.0,0.0,0.0,38.0,9.0,67.0,28.0,86.0,0.0,3.0,1.0,48.0,2.0,5.0,6.0,14.0,7.0,62.0,2.0,5.0,0.0,0.0,0.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,-2.0,0.0,0.03518518518518519,66.94444444444444,-0.6666666666666666,0.5,0.2537037037037037,23.416666666666664,2.0,0.0,0.7111111111111111,70.44444444444444,-1.0,62.5,-2.0,1.8,0.5,36.8
Adrian Serrano,68.0,170.0,0.0,0,1,0,0,1,0,600,0.0,0.0,1.0,187,6,23,55,79,0,2,2,16,4,7,0,0,3,15,3,8,0,0,0.0,0.0,0.0,120.0,26.0,55.0,51.0,85.0,3.0,6.0,15.0,41.0,5.0,7.0,6.0,7.0,21.0,44.0,3.0,5.0,2.0,6.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,-3.0,0.0,0.2,61.0,-1.5,0.0,0.31166666666666665,16.025,1.0,0.0,0.48833333333333334,60.53333333333333,-1.5,23.975,-1.5,2.0,0.0,19.5
Adrian Yanez,67.0,135.0,70.0,Orthodox,5,5,0,0,0,2353,5.0,0.0,0.0,16,257,643,259,645,0,0,183,533,36,69,38,41,244,622,2,3,11,18,0.0,0.0,0.0,66.0,216.0,539.0,220.0,544.0,0.0,5.0,132.0,406.0,57.0,99.0,27.0,34.0,216.0,536.0,0.0,3.0,0.0,0.0,1.5000000000000002,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.02804929876753081,70.15852103697408,0.2,0.6,0.006799830004249894,31.705992350191245,5.0,0.0,0.9651508712282193,83.60603484912878,0.3333333333333333,94.43178920526987,1.0,1.5686666666666667,0.2,39.568666666666665
Adriano Martins,70.0,155.0,72.0,Southpaw,7,4,0,3,0,3445,2.0,2.0,0.0,375,103,234,131,265,4,5,55,173,11,17,37,44,96,220,0,3,7,11,2.0,0.0,0.0,16.0,108.0,342.0,110.0,344.0,1.0,7.0,35.0,214.0,39.0,74.0,34.0,54.0,104.0,336.0,2.0,4.0,2.0,2.0,-0.2999999999999999,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,40.0,3.0,0.0,0.0046444121915820025,72.86066763425254,0.42857142857142855,0.2857142857142857,0.10885341074020319,36.469832054737715,2.3333333333333335,0.2857142857142857,0.8865021770682148,66.36484898749049,0.5,78.74974082521251,0.75,1.6404761904761906,0.14285714285714285,36.1047619047619
Adriano Santos,0.0,0.0,0.0,0,1,0,0,1,0,540,0.0,0.0,1.0,0,11,36,21,47,2,3,8,30,2,3,1,3,4,24,0,0,7,12,0.0,0.0,0.0,0.0,31.0,44.0,53.0,66.0,4.0,4.0,26.0,36.0,1.0,1.0,4.0,7.0,11.0,23.0,1.0,1.0,19.0,20.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,1.0,0.0,38.5,-1.5,0.0,0.0,2.0,1.0,0.0,1.0,81.0,-1.5,47.0,-1.5,1.8,0.0,19.3
Aiemann Zahabi,68.0,135.0,68.0,Orthodox,5,3,0,2,0,3603,2.0,0.0,1.0,160,181,415,184,418,1,6,117,329,30,46,34,40,166,394,10,14,5,7,1.0,0.0,0.0,180.0,203.0,746.0,217.0,760.0,5.0,20.0,108.0,594.0,41.0,85.0,54.0,67.0,190.0,729.0,7.0,11.0,6.0,6.0,0.49999999999999994,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,35.0,1.0,0.0,0.04995836802664446,69.50124895920067,0.16666666666666666,0.2,0.04440743824590619,23.998334721065778,2.5,0.2,0.9056341937274494,70.72536774909798,0.2,72.15353871773522,0.3333333333333333,2.402,0.4,45.068666666666665
Ailin Perez,65.0,135.0,0.0,0,1,0,0,1,0,594,0.0,0.0,0.0,93,16,34,41,61,1,3,7,20,9,12,0,2,8,25,6,6,2,3,0.0,1.0,1.0,419.0,15.0,22.0,47.0,64.0,2.0,7.0,9.0,16.0,3.0,3.0,3.0,3.0,5.0,11.0,3.0,3.0,7.0,8.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,-1.5,1.0,0.7053872053872053,17.33838383838384,-1.5,0.0,0.15656565656565657,9.045454545454547,1.0,0.0,0.13804713804713806,46.52188552188552,-1.5,8.212121212121213,-1.5,1.98,0.0,19.48
Aisling Daly,62.0,115.0,64.0,Orthodox,3,2,0,1,0,2093,0.0,2.0,0.0,1266,102,196,268,376,5,12,71,153,25,35,6,8,16,63,28,40,58,93,0.0,1.0,0.0,585.0,49.0,111.0,200.0,277.0,4.0,6.0,32.0,87.0,10.0,16.0,7.0,8.0,21.0,56.0,20.0,35.0,8.0,20.0,0.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,-1.0,0.0,0.2795031055900621,60.61490683229814,-0.3333333333333333,0.0,0.6048733874820831,58.21930243669374,3.0,0.0,0.11562350692785475,47.62494027711419,-0.25,22.203057811753464,-0.5,2.3255555555555554,0.3333333333333333,38.15888888888889
Akbarh Arreola,70.0,155.0,71.0,Southpaw,4,1,0,3,0,2512,2.0,1.0,0.0,174,97,214,157,281,3,3,51,150,26,37,20,27,70,174,4,7,23,33,0.0,0.0,0.0,1101.0,168.0,390.0,280.0,514.0,4.0,6.0,104.0,299.0,18.0,34.0,46.0,57.0,69.0,229.0,31.0,45.0,68.0,116.0,-0.8,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,40.0,0.0,0.0,0.43829617834394907,56.85111464968153,0.0,0.0,0.06926751592356688,34.36703821656051,4.0,0.0,0.4924363057324841,63.697452229299365,0.0,42.159633757961785,0.0,2.0933333333333333,0.0,27.093333333333334
Akihiro Gono,67.0,170.0,68.0,Switch,3,1,0,2,0,2299,1.0,1.0,1.0,343,90,171,115,197,4,5,33,86,26,39,31,46,74,146,9,15,7,10,0.0,2.0,0.0,677.0,128.0,318.0,267.0,485.0,4.0,7.0,53.0,214.0,40.0,55.0,35.0,49.0,81.0,230.0,34.0,65.0,13.0,23.0,-0.6,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,48.0,-1.0,0.0,0.2944758590691605,60.16572422792518,-0.3333333333333333,0.0,0.14919530230535016,37.71378860374075,3.0,0.0,0.5563288386254893,65.25315354501957,-0.25,42.03479773814702,-0.3333333333333333,2.5544444444444445,0.0,25.887777777777778
Akira Corassani,68.0,145.0,68.0,Orthodox,6,3,0,3,0,2564,0.0,0.0,0.0,296,139,307,155,324,2,7,80,229,28,39,31,39,121,279,18,28,0,0,4.0,1.0,0.0,572.0,210.0,422.0,299.0,517.0,2.0,15.0,138.0,328.0,43.0,61.0,29.0,33.0,121.0,314.0,56.0,71.0,33.0,37.0,-0.9000000000000001,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,40.0,2.0,0.0,0.22308892355694226,65.30733229329174,0.2857142857142857,0.0,0.11544461778471139,28.623579228883443,1.5,0.5,0.6614664586583463,47.95865834633385,0.2857142857142857,53.194562068197015,0.5,1.4244444444444444,0.3333333333333333,42.257777777777775
Al Iaquinta,70.0,155.0,70.0,Orthodox,15,9,0,6,0,11426,7.0,3.0,0.0,687,774,1909,811,1952,8,43,521,1553,145,235,108,121,715,1819,31,51,28,39,4.0,5.0,0.0,1603.0,863.0,2225.0,984.0,2366.0,14.0,54.0,639.0,1928.0,106.0,161.0,118.0,136.0,740.0,2046.0,12.0,29.0,111.0,150.0,-1.1000000000000003,5.0,0.0,4.0,0.0,3.0,0.0,0.0,3.0,35.0,2.75,0.2,0.1402940661648871,62.54117801505339,0.6875,0.26666666666666666,0.06012602835638019,30.95567127603711,15.0,0.0,0.7995799054787327,86.9831962191493,0.9166666666666666,78.98109574654296,1.5714285714285714,2.539111111111111,0.3333333333333333,48.7295873015873
Alan Baudot,75.0,243.0,79.0,Orthodox,4,0,0,4,0,1868,1.0,0.0,0.0,165,167,285,195,313,0,0,123,236,29,33,15,16,112,224,35,37,20,24,0.0,0.0,0.0,772.0,150.0,282.0,252.0,417.0,6.0,16.0,103.0,232.0,21.0,21.0,26.0,29.0,105.0,218.0,12.0,19.0,33.0,45.0,-1.4000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,34.0,0.0,0.5,0.4132762312633833,42.6017130620985,0.0,0.0,0.08832976445396146,23.974839400428266,2.0,0.25,0.49839400428265523,51.935760171306214,0.0,42.42773019271949,0.0,1.5566666666666666,0.0,26.556666666666665
Alan Belcher,74.0,185.0,75.0,Orthodox,15,9,0,6,0,8258,3.0,8.0,2.0,1577,372,889,513,1041,4,15,211,672,61,94,100,123,252,705,58,82,62,102,0.0,10.0,1.0,2290.0,427.0,1058.0,747.0,1398.0,22.0,49.0,328.0,921.0,49.0,76.0,50.0,61.0,306.0,870.0,69.0,104.0,52.0,84.0,-0.2999999999999999,1.0,1.0,2.0,5.0,4.0,0.0,1.0,1.0,38.0,5.5,0.06666666666666667,0.27730685395979654,65.18079438120611,1.0,0.13333333333333333,0.19096633567449744,55.593485105352386,7.5,0.06666666666666667,0.531726810365706,66.10240574796157,0.7857142857142857,59.3562778950282,1.5714285714285714,1.835111111111111,0.06666666666666667,37.358920634920636
Alan Jouban,72.0,170.0,73.0,Southpaw,13,8,0,5,0,7020,9.0,2.0,1.0,480,663,1318,719,1377,4,9,398,961,138,207,127,150,538,1120,86,135,39,63,3.0,2.0,0.0,797.0,441.0,1103.0,503.0,1178.0,7.0,17.0,327.0,934.0,67.0,107.0,47.0,62.0,362.0,971.0,53.0,89.0,26.0,43.0,0.09999999999999995,4.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,41.0,4.5,0.07692307692307693,0.11353276353276354,68.78632478632478,0.6428571428571429,0.3076923076923077,0.06837606837606838,30.791208791208792,4.333333333333333,0.15384615384615385,0.8180911680911681,70.9031339031339,0.9,81.4602564102564,1.5,1.8,0.3076923076923077,46.60769230769231
Alan Omer,70.0,145.0,0.0,Orthodox,2,0,0,2,0,1601,0.0,0.0,0.0,388,93,167,154,237,3,7,60,124,15,23,18,20,46,103,31,42,16,22,1.0,1.0,0.0,519.0,59.0,168.0,130.0,249.0,3.0,9.0,40.0,137.0,8.0,17.0,11.0,14.0,32.0,122.0,13.0,28.0,14.0,18.0,-0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,34.0,-1.0,0.5,0.32417239225484074,44.27482823235478,-0.6666666666666666,0.0,0.24234853216739538,22.905683947532793,2.0,0.0,0.4334790755777639,59.33916302311056,-0.6666666666666666,31.506558400999374,-0.6666666666666666,2.6683333333333334,0.0,24.335
Alan Patrick,71.0,155.0,74.0,Southpaw,10,5,0,4,1,6882,1.0,2.0,0.0,2525,209,513,455,816,23,69,127,385,53,95,29,33,140,414,24,36,45,63,3.0,3.0,0.0,1326.0,338.0,598.0,581.0,872.0,9.0,16.0,214.0,439.0,93.0,125.0,31.0,34.0,179.0,384.0,60.0,82.0,99.0,132.0,-1.3,4.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,39.0,3.0,0.1,0.1926765475152572,64.21970357454228,0.5454545454545454,0.1,0.3668991572217379,43.05591662043275,3.3333333333333335,0.2,0.4404242952630049,52.950305143853534,0.6,51.51909328683522,1.2,2.294,0.4,49.294
Alatengheili,65.0,135.0,66.0,Orthodox,6,4,0,2,0,4547,1.0,0.0,0.0,461,223,657,287,749,9,23,150,556,39,54,34,47,212,641,1,3,10,13,0.0,1.0,0.0,129.0,347.0,891.0,417.0,971.0,3.0,11.0,233.0,711.0,78.0,126.0,36.0,54.0,302.0,825.0,22.0,35.0,23.0,31.0,0.49999999999999994,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,31.0,2.0,0.0,0.02837035407961293,71.14888937761161,0.2857142857142857,0.16666666666666666,0.10138552892016714,27.990920229978947,6.0,0.0,0.87024411700022,80.8097646800088,0.3333333333333333,70.6609852650099,0.6666666666666666,2.526111111111111,0.5,50.85944444444444
